#{"t_start": 1677972172.8311899, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,8.062006,0.0,0.0
50,50,8.299479,0.0,0.0
50,50,9.288177,0.0,0.0
50,50,9.533789,0.0,0.0
50,50,9.804144,0.0,0.0
50,50,10.062896,0.0,0.0
42,50,10.330555,0.08,0.08885704048728055
22,50,10.599675,0.28,0.27421790722761596
-4,50,10.836638,0.54,0.5666955017301039
6,50,11.096135,0.44,0.5047862761823524
-16,50,11.328277,0.66,0.7152719470099823
-16,50,11.559985,0.66,0.6907511497189576
-10,50,11.803131,0.6,0.6181114393399205
-12,50,12.052655,0.62,0.6633269994817758
-10,50,12.299272,0.6,0.6934650997150997
-20,50,12.536313,0.7,0.7447187579536778
-22,50,12.792137,0.72,0.7816704288939051
-12,50,13.060788,0.62,0.6690742624618514
-36,50,13.313192,0.86,0.8782689387548507
-20,50,13.564719,0.7,0.7540700318326512
-20,50,13.828836,0.7,0.7436614287091488
-26,50,14.105328,0.76,0.7714098728496634
-20,50,14.381812,0.7,0.7522810697430519
-28,50,14.656701,0.78,0.803021385128507
-24,50,14.947968,0.74,0.8042553191489362
-14,50,15.239697,0.64,0.7424433861405384
-34,50,15.519974,0.84,0.8529051987767584
-32,50,15.810597,0.82,0.9133865753945617
-20,50,16.134778,0.7,0.7456199460916442
-26,50,16.448101,0.76,0.8151342699626534
-26,50,16.766779,0.76,0.8048984913391694
-20,50,17.163443,0.7,0.7113930431860191
-26,50,17.700354,0.76,0.7870979532163743
-26,50,18.253752,0.76,0.7805998125585755
-26,50,18.810187,0.76,0.8286669452569996
-30,50,19.380234,0.8,0.8475536161916256
-24,50,19.742417,0.74,0.7862602998113769
-26,50,20.069117,0.76,0.8370384325546345
-32,50,20.414562,0.82,0.8154151219932753
-24,50,20.766672,0.74,0.7941679331306991
-18,50,21.151744,0.68,0.7401794784964443
-30,50,21.537261,0.8,0.8323725866959466
-18,50,21.916358,0.68,0.7130831287267625
-26,50,22.288671,0.76,0.773747680890538
-26,50,22.67822,0.76,0.7965463108320251
-24,50,23.084804,0.74,0.7876106194690266
-32,50,23.511535,0.82,0.8454862748797283
-28,50,23.896585,0.78,0.848882705851665
-12,50,24.298554,0.62,0.71671388101983
-36,50,24.709168,0.86,0.9372898120672601
-20,50,25.128093,0.7,0.7587662617386061
-30,50,25.534501,0.8,0.8892226811866316
-20,50,25.972793,0.7,0.7931722456218133
-26,50,26.447756,0.76,0.7694845728553593
-24,50,26.893588,0.74,0.8329978038067349
-36,50,27.346859,0.86,0.9041722232806249
-26,50,27.817382,0.76,0.7789300411522634
-26,50,28.305843,0.76,0.8613232643954346
-28,50,28.780525,0.78,0.8369351669941061
-20,50,29.222801,0.7,0.7169342309684101
-42,50,29.94795,0.92,0.9512077759599653
-38,50,30.810883,0.88,0.9408781961376632
-32,50,31.721376,0.82,0.8789093825180433
-24,50,32.304389,0.74,0.8075239780240245
-18,50,32.799987,0.68,0.7347392860597852
-22,50,33.298177,0.72,0.8385999561114769
-20,50,33.796563,0.7,0.7858935043211598
-18,50,34.301615,0.68,0.6962621222107146
-18,50,34.84638,0.68,0.7934595524956971
-16,50,35.341632,0.66,0.7456325590324439
-38,50,35.874168,0.88,0.9053590673067503
-20,50,36.397994,0.7,0.736891306195292
-20,50,36.927275,0.7,0.7670907914599957
-24,50,37.476569,0.74,0.8199632578077158
-34,50,38.021115,0.84,0.8757563927386297
-24,50,38.599271,0.74,0.7879181228157763
-26,50,39.157576,0.76,0.8200283838921412
-28,50,39.736736,0.78,0.8561819630055757
-24,50,40.305723,0.74,0.7939621965421482
-30,50,40.875383,0.8,0.8561964940888708
-32,50,41.501067,0.82,0.8736851034950798
-18,50,42.198241,0.68,0.7154370737755734
-26,50,43.30815,0.76,0.7155991109315013
-22,50,44.413438,0.72,0.7519889991160004
-26,50,45.0825,0.76,0.8294816315256422
-22,50,45.657347,0.72,0.803183023872679
-26,50,46.276308,0.76,0.8221715588486749
-14,50,46.875403,0.64,0.6896236012207528
-24,50,47.481168,0.74,0.7744631231172869
-30,50,48.096696,0.8,0.8764735516372796
-26,50,48.773442,0.76,0.8319083296606434
-28,50,49.387356,0.78,0.7876087857438873
-18,50,50.034024,0.68,0.7161945483698557
-40,50,50.669161,0.9,0.9101192564012627
-38,50,51.365836,0.88,0.9369842460615154
-32,50,52.024338,0.82,0.8818780166739798
-34,50,52.686393,0.84,0.8924923848772621
-34,50,53.416754,0.84,0.9101338432122371
-20,50,54.07537,0.7,0.7844570809639859
-16,50,54.798577,0.66,0.6965743782261848
-28,50,56.090433,0.78,0.8097003071057927
-20,50,57.250821,0.7,0.7656633627352915
-30,50,57.953343,0.8,0.8255069370330843
-26,50,58.676384,0.76,0.7817502668089648
-34,50,59.392727,0.84,0.8871750433275564
-28,50,60.10782,0.78,0.8156898844226246
-22,50,60.79535,0.72,0.7784175518713392
-28,50,61.540262,0.78,0.8100424589256046
-18,50,62.298579,0.68,0.7632539544585434
-22,50,62.989654,0.72,0.7676481691204228
-24,50,63.792298,0.74,0.7982083487255264
-18,50,64.487454,0.68,0.7198803372314386
-14,50,65.202946,0.64,0.7080520962068638
-32,50,65.965754,0.82,0.8361904761904762
-14,50,67.341291,0.64,0.690898286619788
-26,50,69.024925,0.76,0.8030989272943981
-22,50,70.471443,0.72,0.7729855371900827
-20,50,71.298993,0.7,0.8086282199839558
-28,50,72.119928,0.78,0.8537802466811035
-18,50,72.889928,0.68,0.7119938146322605
-24,50,73.714057,0.74,0.8065055031446541
-28,50,74.488108,0.78,0.85422381988459
-30,50,75.26907,0.8,0.8793023038895625
-24,50,76.0391,0.74,0.76431718061674
-24,50,76.841512,0.74,0.8400649702219816
-34,50,77.642432,0.84,0.8682895812517032
-22,50,78.504564,0.72,0.8230830218597802
-32,50,79.297317,0.82,0.8621399176954733
-30,50,80.112984,0.8,0.856572224802601
-32,50,81.220775,0.82,0.8668222279837525
-20,50,82.782626,0.7,0.7945990180032734
-20,50,83.785357,0.7,0.8368208352043107
-28,50,84.621289,0.78,0.8347568710359408
-34,50,85.464843,0.84,0.8453461470012458
-26,50,86.335794,0.76,0.7990344566452101
-24,50,87.179633,0.74,0.7778956504966728
-26,50,88.053065,0.76,0.8283154783893609
-24,50,88.973156,0.74,0.77734586873983
-24,50,89.828519,0.74,0.8709994636152333
-26,50,90.684062,0.76,0.8553765455226676
-26,50,91.600953,0.76,0.8148363918827071
-26,50,92.463107,0.76,0.8068705882352941
-20,50,93.546704,0.7,0.7765830346475507
-30,50,95.290064,0.8,0.8674532214950686
