#{"t_start": 1668722241.6061673, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,6.528588,0.0,0.0
50,50,6.95837,0.0,0.0
50,50,7.430627,0.0,0.0
50,50,7.874391,0.0,0.0
50,50,8.342613,0.0,0.0
50,50,8.775495,0.0,0.0
50,50,9.242353,0.0,0.0
50,50,9.725685,0.0,0.0
50,50,10.232483,0.0,0.0
50,50,10.711338,0.0,0.0
50,50,11.202964,0.0,0.0
50,50,11.700696,0.0,0.0
50,50,12.21419,0.0,0.0
50,50,12.744756,0.0,0.0
50,50,13.279084,0.0,0.0
30,50,13.786515,0.2,0.20802579112581657
14,50,14.244681,0.36,0.442979683972912
16,50,14.737321,0.34,0.38413021363173955
2,50,15.212024,0.48,0.4917327484393454
16,50,15.701939,0.34,0.39399727148703956
0,50,16.419537,0.5,0.5950062662681963
2,50,17.069131,0.48,0.4913986537023186
-6,50,17.700188,0.56,0.5808075511274253
-10,50,18.328067,0.6,0.6427310182460271
-6,50,18.965397,0.56,0.6242021276595745
-4,50,19.60884,0.54,0.6413645640975799
-6,50,20.226148,0.56,0.544750254841998
-6,50,20.86084,0.56,0.5863281992774292
-4,50,21.488945,0.54,0.5496125336927223
-16,50,22.115546,0.66,0.6761515205406367
-12,50,22.766495,0.62,0.6899795120134103
-12,50,23.42606,0.62,0.6172912115610821
6,50,24.135924,0.44,0.44691154970760233
-2,50,24.860476,0.52,0.5521087160262418
-2,50,25.58975,0.52,0.592227329711659
-6,50,26.30048,0.56,0.6729180206108997
0,50,27.010515,0.5,0.5660677057480393
-12,50,27.700827,0.62,0.6512810851544838
-14,50,28.381282,0.64,0.7092852832140701
-6,50,29.066019,0.56,0.5588905775075987
2,50,29.787766,0.48,0.6030308161192008
-14,50,30.485654,0.64,0.7006130478543325
-10,50,31.192739,0.6,0.6596808137495616
-8,50,31.916046,0.58,0.6078849721706865
-2,50,32.635639,0.52,0.6058608058608058
-8,50,33.370895,0.58,0.6521855725395549
-16,50,34.142334,0.66,0.705122158286954
-8,50,34.893518,0.58,0.6128162768454917
4,50,35.657142,0.46,0.5442241107963488
-14,50,36.429169,0.64,0.6964391691394659
-12,50,37.188354,0.62,0.7087102610493667
-6,50,37.972151,0.56,0.6273939166353737
-6,50,38.757378,0.56,0.6484149855907781
-6,50,39.593218,0.56,0.6289459604066345
-10,50,40.68734,0.6,0.7047950219619327
-10,50,41.784496,0.6,0.7048009144598971
-14,50,42.933906,0.64,0.7004938271604938
-26,50,43.863235,0.76,0.8056294516433536
