#{"t_start": 1668715868.6601262, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,7.279677,0.0,0.0
50,50,7.765524,0.0,0.0
50,50,8.310774,0.0,0.0
50,50,8.81345,0.0,0.0
50,50,9.326899,0.0,0.0
50,50,9.825607,0.0,0.0
50,50,10.37361,0.0,0.0
50,50,10.898565,0.0,0.0
50,50,11.456514,0.0,0.0
50,50,11.996569,0.0,0.0
50,50,12.565836,0.0,0.0
50,50,13.106369,0.0,0.0
50,50,13.662351,0.0,0.0
50,50,14.232155,0.0,0.0
50,50,14.819969,0.0,0.0
50,50,15.405085,0.0,0.0
50,50,16.01087,0.0,0.0
50,50,16.63588,0.0,0.0
50,50,17.247197,0.0,0.0
50,50,17.843546,0.0,0.0
50,50,18.730508,0.0,0.0
48,50,19.521448,0.02,0.033657442034405384
48,50,20.332043,0.02,0.025694808599895123
40,50,21.12938,0.1,0.06131057484794977
36,50,21.922749,0.14,0.18111702127659574
28,50,22.722019,0.22,0.25901448148508116
20,50,23.510811,0.3,0.24087665647298676
34,50,24.324962,0.16,0.1713253470241491
36,50,25.131703,0.14,0.19162735849056603
40,50,25.935763,0.1,0.11355148497243464
26,50,26.765826,0.24,0.29335071707953064
36,50,27.579418,0.14,0.15131910603259957
36,50,28.391785,0.14,0.17607821637426901
30,50,29.195462,0.2,0.2545454545454545
20,50,29.977225,0.3,0.34442122858336816
24,50,30.788777,0.26,0.3337665954878841
32,50,31.600378,0.18,0.23319765710314702
30,50,32.415467,0.2,0.2142991710625471
24,50,33.228038,0.26,0.2918355030606087
26,50,34.046557,0.24,0.2939779635258359
20,50,34.831592,0.3,0.34033186589908565
24,50,35.641841,0.26,0.3025894409369567
18,50,36.452639,0.32,0.3404068747807787
16,50,37.284551,0.34,0.3859925788497217
40,50,38.193744,0.1,0.12464678178963894
20,50,39.025904,0.3,0.3630106373469205
8,50,39.868691,0.42,0.5095745684369399
14,50,40.718642,0.36,0.3950091296409008
30,50,41.641456,0.2,0.20333648095687756
20,50,42.485693,0.3,0.30247279920870423
0,50,43.269207,0.5,0.6718359610579823
10,50,44.110586,0.4,0.5185880585805482
20,50,44.956413,0.3,0.38195522057193526
4,50,45.776644,0.46,0.5168539325842697
12,50,46.6119,0.38,0.48371156661786235
12,50,47.443933,0.38,0.4302724328443513
-2,50,48.279311,0.52,0.5662551440329218
16,50,49.119322,0.34,0.43284990989444777
26,50,50.003592,0.24,0.2733791748526523
24,50,50.920218,0.26,0.37586742620403935
12,50,51.75972,0.38,0.4499085747281301
14,50,52.639925,0.36,0.4087819613766318
10,50,53.492039,0.4,0.47634322373696875
2,50,54.346948,0.48,0.5870192755377596
0,50,55.227591,0.5,0.5979491148302215
12,50,56.188484,0.38,0.4846390168970814
22,50,57.358503,0.28,0.33825852615927887
14,50,58.627407,0.36,0.38320308822144805
2,50,59.843553,0.48,0.6076807228915663
2,50,60.837017,0.48,0.5678633134958725
4,50,61.739761,0.46,0.5136670912119133
16,50,62.675701,0.34,0.3567604317158154
0,50,63.555941,0.5,0.5154194522320465
18,50,64.458384,0.32,0.396407430087773
4,50,65.345951,0.46,0.5217645910599258
28,50,66.265027,0.22,0.24043934098851721
4,50,67.133858,0.46,0.5094021642717758
6,50,68.063378,0.44,0.5384547305071246
8,50,68.994447,0.42,0.486159634506853
14,50,69.886654,0.36,0.4986750917244191
0,50,70.799464,0.5,0.5598065829657278
16,50,71.740497,0.34,0.4123785906178963
10,50,72.667531,0.4,0.4808042028692665
20,50,73.625472,0.3,0.3745211668794814
6,50,74.559785,0.44,0.49627106159653805
2,50,75.47642,0.48,0.5406719717064544
10,50,76.397938,0.4,0.44742091764035335
20,50,77.342844,0.3,0.39247202441505596
24,50,78.310157,0.26,0.36381304052084346
10,50,79.249274,0.4,0.4907808564231738
22,50,80.203532,0.28,0.3464962538563244
8,50,81.141404,0.42,0.5147119767923747
12,50,82.099163,0.38,0.46917869232139675
8,50,83.094108,0.42,0.46623991581901086
12,50,84.070508,0.38,0.4418604651162791
6,50,85.040052,0.44,0.5254058797718297
4,50,85.992832,0.46,0.5473033506540047
-6,50,86.919837,0.56,0.6299735955567696
8,50,87.873724,0.42,0.5397599061287119
16,50,88.885048,0.34,0.40140778977006103
18,50,89.879714,0.32,0.40368526951180767
2,50,90.848986,0.48,0.596435391470401
2,50,91.817117,0.48,0.5356456776947706
10,50,92.774885,0.4,0.4414544900137216
6,50,93.755199,0.44,0.4856152512998267
14,50,94.76175,0.36,0.3726091848215199
10,50,95.766399,0.4,0.488930805122605
20,50,96.810855,0.3,0.3387483847147868
12,50,97.843784,0.38,0.4145663132278811
8,50,98.853496,0.42,0.4826349565873915
0,50,99.86318,0.5,0.6010343553749539
22,50,100.867657,0.28,0.3236333967908621
-4,50,101.875075,0.54,0.6921760623633425
-6,50,102.849604,0.56,0.6466666666666666
18,50,103.888674,0.32,0.3802119441418243
4,50,104.906839,0.46,0.5324592769169646
10,50,105.97541,0.4,0.4452479338842975
2,50,107.000328,0.48,0.5955076210000891
10,50,108.014781,0.4,0.4288673382920629
6,50,109.223152,0.44,0.5957282304049483
8,50,110.646976,0.42,0.5349842767295597
12,50,112.21739,0.38,0.4546400529751206
14,50,113.423513,0.36,0.5114261729316295
10,50,114.46093,0.4,0.5028730128327906
14,50,115.536885,0.36,0.43140227395776937
4,50,116.62166,0.46,0.517031519665728
20,50,117.730605,0.3,0.40967266961150756
6,50,118.812284,0.44,0.5003741114852226
8,50,119.878474,0.42,0.503855085926614
16,50,120.960926,0.34,0.3926194797338173
16,50,122.055563,0.34,0.41816693944353517
12,50,123.149726,0.38,0.510821733273462
8,50,124.227832,0.42,0.46773784355179704
-4,50,125.333018,0.54,0.6710268731090941
4,50,126.417154,0.46,0.5531995456266565
2,50,127.484562,0.48,0.5330311505448935
8,50,128.572953,0.42,0.4463428149242704
14,50,129.701042,0.36,0.4252395588501175
8,50,130.833199,0.42,0.5532808868228142
6,50,131.923275,0.44,0.5506744098913451
-10,50,132.995041,0.6,0.7090979706767647
6,50,134.120239,0.44,0.5744941176470588
14,50,135.211906,0.36,0.4663480684986061
6,50,136.317135,0.44,0.5380219375057609
6,50,137.464648,0.44,0.535886019590383
14,50,138.578326,0.36,0.43332983082904275
12,50,139.730983,0.38,0.4796800294225818
14,50,140.899933,0.36,0.41890178484346047
10,50,142.428433,0.4,0.40171094101755966
10,50,144.099369,0.4,0.5237000353731871
6,50,145.449483,0.44,0.5125997099347354
12,50,146.58604,0.38,0.4262783966318744
14,50,147.762861,0.36,0.4774702141001523
18,50,148.911683,0.32,0.3676782584632414
20,50,150.019452,0.3,0.3988557417245607
32,50,151.176269,0.18,0.26160040261701056
8,50,152.320555,0.42,0.5343753091304778
10,50,153.464962,0.4,0.460374430109613
12,50,154.619761,0.38,0.5317718727024472
22,50,155.756607,0.28,0.36512476575599173
12,50,156.91299,0.38,0.42343165007761846
6,50,158.121935,0.44,0.5238539818877789
14,50,159.325198,0.36,0.45671785028790784
16,50,160.650514,0.34,0.397200081749438
10,50,162.349586,0.4,0.48628257887517146
14,50,164.177844,0.36,0.43349753694581283
22,50,165.370632,0.28,0.38028306490971203
10,50,166.580883,0.4,0.5005867560771166
8,50,167.795684,0.42,0.4897170894665414
6,50,169.021478,0.44,0.5654889912954429
10,50,170.251729,0.4,0.4833032490974729
10,50,171.476036,0.4,0.4968628299437473
14,50,172.767277,0.36,0.456954923582898
22,50,174.036807,0.28,0.3654430030361579
8,50,175.288179,0.42,0.46475442043222004
12,50,176.49688,0.38,0.505024115755627
4,50,177.7276,0.46,0.5824609915070117
10,50,178.992499,0.4,0.4502440856177244
12,50,180.257461,0.38,0.4804964539007092
12,50,181.464279,0.38,0.4697508896797153
16,50,182.711906,0.34,0.3773411678295997
2,50,183.962744,0.48,0.5989842851667305
14,50,185.192478,0.36,0.4297440423654016
24,50,186.449888,0.26,0.3491079199303742
12,50,187.648082,0.38,0.47822596829219344
10,50,188.85481,0.4,0.46081258191349933
12,50,190.110694,0.38,0.4948570253034355
4,50,191.328129,0.46,0.5669190677549415
10,50,192.592597,0.4,0.47712694125590815
20,50,193.853723,0.3,0.36320655599915946
10,50,195.148353,0.4,0.5110413097277746
14,50,196.406722,0.36,0.4545805952841129
8,50,197.668123,0.42,0.5209597352454496
-6,50,198.897872,0.56,0.6294765840220385
0,50,200.194154,0.5,0.6147694737881331
8,50,201.45858,0.42,0.539831966798259
12,50,202.747594,0.38,0.4437177280550775
12,50,204.024964,0.38,0.5112501167024555
26,50,205.327781,0.24,0.3142300854990265
14,50,206.572594,0.36,0.45928893340010013
18,50,207.808172,0.32,0.4142844420696411
16,50,209.088324,0.34,0.4524628952462895
10,50,210.347164,0.4,0.48349514563106794
14,50,211.61634,0.36,0.42954698470712704
-6,50,212.913671,0.56,0.6304273504273504
12,50,214.427895,0.38,0.4278643446379468
18,50,216.242242,0.32,0.4479115236496495
14,50,217.981407,0.36,0.439915611814346
4,50,219.283532,0.46,0.5058133552834654
18,50,220.58078,0.32,0.4724178403755869
6,50,221.848774,0.44,0.5326758147512864
6,50,223.151313,0.44,0.5256282409254088
14,50,224.471944,0.36,0.4120694356084704
8,50,225.846181,0.42,0.52615199277181
-4,50,227.147925,0.54,0.6156589821661592
14,50,228.463104,0.36,0.37089247520902197
16,50,229.737208,0.34,0.4282938204430626
4,50,231.076142,0.46,0.47193045997826877
18,50,232.377618,0.32,0.3534694569177328
8,50,233.734454,0.42,0.5219407008086253
26,50,235.050212,0.24,0.2863049095607235
22,50,236.419949,0.28,0.33808371426010575
14,50,237.743837,0.36,0.4934830559454582
12,50,239.084017,0.38,0.4693451841102848
4,50,240.423827,0.46,0.49946017772610246
4,50,241.787822,0.46,0.5394700139470014
0,50,243.142795,0.5,0.5465626523647001
10,50,244.496911,0.4,0.5136035535813437
8,50,245.852267,0.42,0.4855885398688298
10,50,247.267473,0.4,0.606163632375521
6,50,248.636925,0.44,0.5462152169682818
8,50,249.95983,0.42,0.5320711773225739
26,50,251.313942,0.24,0.2612252486752812
8,50,252.660583,0.42,0.5069584325215162
12,50,254.004011,0.38,0.44144809752493536
12,50,255.427398,0.38,0.4330079033007903
12,50,256.786746,0.38,0.46452105816063416
8,50,258.13723,0.42,0.4676132241683076
22,50,259.481038,0.28,0.39102040816326533
4,50,260.901508,0.46,0.563249239577742
24,50,262.288231,0.26,0.29750443966725865
24,50,263.664196,0.26,0.3108070884216325
10,50,265.043555,0.4,0.5430512208555168
22,50,266.481467,0.28,0.3723016264169542
2,50,268.040142,0.48,0.5213824402164426
10,50,270.047663,0.4,0.5369556113902848
