#{"t_start": 1668695810.7917104, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,6.214847,0.0,0.0
50,50,6.701992,0.0,0.0
50,50,7.206911,0.0,0.0
50,50,7.701488,0.0,0.0
50,50,8.246424,0.0,0.0
50,50,8.74973,0.0,0.0
50,50,9.253177,0.0,0.0
50,50,9.753734,0.0,0.0
50,50,10.271894,0.0,0.0
50,50,10.789525,0.0,0.0
50,50,11.316075,0.0,0.0
50,50,11.838625,0.0,0.0
50,50,12.365036,0.0,0.0
50,50,12.895259,0.0,0.0
50,50,13.465793,0.0,0.0
50,50,14.040967,0.0,0.0
50,50,14.618914,0.0,0.0
50,50,15.170787,0.0,0.0
50,50,15.737921,0.0,0.0
50,50,16.307763,0.0,0.0
50,50,17.294276,0.0,0.0
50,50,18.373882,0.0,0.0
50,50,19.531762,0.0,0.0
50,50,20.685371,0.0,0.0
50,50,21.83021,0.0,0.0
50,50,22.511723,0.0,0.0
50,50,23.253647,0.0,0.0
50,50,23.955668,0.0,0.0
48,50,24.690273,0.02,0.03023921832884097
48,50,25.423923,0.02,0.02925484616752623
42,50,26.1663,0.08,0.10318495064257777
42,50,26.882918,0.08,0.07855822550831792
40,50,27.628724,0.1,0.12920321637426901
44,50,28.34886,0.06,0.09643861293345829
38,50,29.097017,0.12,0.1070622649394066
48,50,29.858846,0.02,0.032773187262092655
38,50,30.59851,0.12,0.16042886925444258
46,50,31.365268,0.04,0.030425772418990204
42,50,32.155625,0.08,0.11216484179670662
36,50,32.900482,0.14,0.1692629179331307
32,50,33.666382,0.18,0.22790382661699965
34,50,34.409443,0.16,0.18565285021502426
34,50,35.180407,0.16,0.20361276745001755
30,50,35.921161,0.2,0.2427643784786642
36,50,36.728634,0.14,0.18168498168498168
36,50,37.499721,0.14,0.1510682041655493
28,50,38.299021,0.22,0.27752098858598245
38,50,39.084046,0.12,0.11233805756021216
48,50,39.925187,0.02,0.014164305949008499
44,50,40.743363,0.06,0.07002967359050445
42,50,41.577295,0.08,0.11915223571982424
38,50,42.362164,0.12,0.11500187758167481
28,50,43.167854,0.22,0.2839725116382177
22,50,43.90392,0.28,0.35152487961476725
40,50,44.726735,0.1,0.1367130307467057
34,50,45.533992,0.16,0.187940560106687
16,50,46.300023,0.34,0.4013991769547325
24,50,47.086481,0.26,0.3361366171801253
36,50,47.914375,0.14,0.15658153241650294
34,50,48.709248,0.16,0.25375453133091663
16,50,49.489923,0.34,0.43431815994610723
30,50,50.292032,0.2,0.2829862984140684
22,50,51.061966,0.28,0.3022253408179631
18,50,51.8094,0.32,0.39594003166030356
4,50,52.581151,0.46,0.5378736577343524
20,50,53.373461,0.3,0.3969716919025675
28,50,54.146245,0.22,0.2772047207508596
22,50,54.920191,0.28,0.34441201393465776
20,50,55.718656,0.3,0.4266351118760757
20,50,56.515307,0.3,0.36993664810904203
24,50,57.322824,0.26,0.3504457725090624
18,50,58.113221,0.32,0.3422282654882298
18,50,58.88035,0.32,0.3171231399611818
18,50,59.64776,0.32,0.34700959379465196
18,50,60.45607,0.32,0.37878196369314854
32,50,61.265601,0.18,0.21347978032950574
22,50,62.065299,0.28,0.30503814085506475
26,50,62.925237,0.24,0.2912647136914771
8,50,63.738553,0.42,0.5110633342291498
22,50,64.515846,0.28,0.39166326946596003
8,50,65.301055,0.42,0.47293858160841534
26,50,66.143936,0.24,0.3240338912998553
20,50,66.984489,0.3,0.35764800969892907
24,50,67.802797,0.26,0.34760828995187115
16,50,68.669752,0.34,0.43467452352453734
12,50,69.47369,0.38,0.42236958443854994
24,50,70.298245,0.26,0.343592666476679
20,50,71.100334,0.3,0.36927772126144454
34,50,71.964067,0.16,0.21912350597609562
24,50,72.781157,0.26,0.3566750629722922
16,50,73.588866,0.34,0.39083296606434553
32,50,74.417134,0.18,0.23704931620389558
28,50,75.295345,0.22,0.25458756458221987
20,50,76.130759,0.3,0.3698702209750965
24,50,76.984673,0.26,0.34158539634908724
14,50,77.800558,0.36,0.42114962702939884
18,50,78.651646,0.32,0.3932986919906827
8,50,79.474718,0.42,0.5657834835655103
20,50,80.32088,0.3,0.4003068869031501
24,50,81.16247,0.26,0.3382449554199906
22,50,82.020423,0.28,0.36227893677856615
10,50,82.833347,0.4,0.44930435573338184
30,50,83.707745,0.2,0.2392742796157951
12,50,84.536541,0.38,0.45388016465924685
24,50,85.625793,0.26,0.3123916811091854
22,50,87.046539,0.28,0.40022501789915105
22,50,88.514143,0.28,0.39670406035937655
28,50,90.007929,0.22,0.2981354993538859
22,50,90.90007,0.28,0.35564053537284895
18,50,91.747,0.32,0.4052472631181578
18,50,92.638126,0.32,0.4050609530845955
20,50,93.525359,0.3,0.3869096183482912
12,50,94.418094,0.38,0.5268561650346991
22,50,95.277449,0.28,0.3587012987012987
24,50,96.173561,0.26,0.3447558680796276
20,50,97.033036,0.3,0.3702026221692491
8,50,97.925874,0.42,0.5615530303030303
16,50,98.808442,0.34,0.39914430876192175
