#{"t_start": 1667989427.0999842, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,0.569921,0.0,0.0
50,50,1.154376,0.0,0.0
50,50,1.745841,0.0,0.0
50,50,2.381341,0.0,0.0
50,50,3.017678,0.0,0.0
50,50,3.625245,0.0,0.0
50,50,4.238431,0.0,0.0
44,50,4.902474,0.06,0.035115099492781895
42,50,5.610713,0.08,0.06953992596509784
48,50,6.285947,0.02,0.028112798264642084
42,50,583.606787,0.08,0.08604360257326663
46,50,584.292893,0.04,0.07012224012129252
42,50,584.996593,0.08,0.08803326102675343
48,50,585.735354,0.02,0.01376983403246398
46,50,586.438712,0.04,0.05882958994436431
38,50,587.124884,0.12,0.10150973381009137
40,50,587.799479,0.1,0.11530621288664362
48,50,588.53492,0.02,0.003003003003003003
50,50,589.291494,0.0,0.0
46,50,590.051318,0.04,0.032245681381957776
