#{"t_start": 1679178986.839157, "env_id": "DeepRMSA-v2"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
90,50,0.658972,0.0,0.0
138,50,1.299954,0.0,0.0
154,50,1.788838,0.0,0.0
174,50,2.270233,0.0,0.0
170,50,2.769659,0.0,0.0
166,50,3.240119,0.0,0.0
182,50,3.755565,0.0,0.0
186,50,4.240097,0.0,0.0
182,50,4.763049,0.0,0.0
194,50,5.254498,0.0,0.0
178,50,5.778319,0.0,0.0
194,50,6.295501,0.0,0.0
214,50,6.820072,0.0,0.0
166,50,7.336701,0.0,0.0
170,50,7.891457,0.0,0.0
198,50,8.42118,0.0,0.0
154,50,8.982053,0.0,0.0
182,50,9.540409,0.0,0.0
174,50,10.148067,0.0,0.0
202,50,10.717676,0.0,0.0
190,50,11.408689,0.0,0.0
210,50,12.265638,0.0,0.0
200,50,13.157511,0.02,0.027267960146827478
158,50,13.8811,0.04,0.036393957229742986
168,50,14.470678,0.14,0.1504432624113475
188,50,15.081666,0.02,0.021576440859169987
136,50,15.707892,0.14,0.15851172273190622
194,50,16.288575,0.08,0.08204981935729226
184,50,16.926153,0.06,0.07496630727762803
204,50,17.526631,0.06,0.050951449404232615
140,50,18.128596,0.18,0.22415719873346993
204,50,18.737638,0.06,0.05906570324315241
182,50,19.379326,0.08,0.08972953216374269
196,50,20.002742,0.06,0.08022492970946579
148,50,20.668707,0.18,0.17434183033848724
168,50,21.273366,0.18,0.21613592052734193
208,50,21.937349,0.02,0.03732750918296436
194,50,22.554108,0.08,0.08807460437076112
186,50,23.200349,0.16,0.13854642641607035
138,50,24.007384,0.2,0.1978533434650456
140,50,24.944016,0.3,0.3780900778868947
150,50,26.493839,0.2,0.24714063500777747
156,50,27.115195,0.26,0.2366713433882848
168,50,27.837057,0.14,0.1528756957328386
178,50,28.487131,0.12,0.11700680272108843
156,50,29.092736,0.22,0.2551175471529454
148,50,29.756059,0.18,0.23563814734459013
174,50,30.39161,0.2,0.20841665942091991
204,50,31.096572,0.14,0.17930962123596683
142,50,31.760653,0.16,0.17734915924826905
