#{"t_start": 1679328943.2951014, "env_id": "DeepRMSA-v2"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
102,50,7.426527,0.0,0.0
134,50,8.139244,0.0,0.0
150,50,11.196226,0.0,0.0
178,50,11.933623,0.0,0.0
166,50,12.463639,0.0,0.0
182,50,12.956656,0.0,0.0
186,50,13.46713,0.0,0.0
178,50,13.940238,0.0,0.0
170,50,14.492962,0.0,0.0
198,50,14.975964,0.0,0.0
190,50,15.513719,0.0,0.0
178,50,16.032991,0.0,0.0
198,50,16.547764,0.0,0.0
186,50,17.044106,0.0,0.0
174,50,17.586349,0.0,0.0
182,50,18.107475,0.0,0.0
186,50,18.671935,0.0,0.0
174,50,19.201285,0.0,0.0
170,50,19.77241,0.0,0.0
202,50,20.340484,0.0,0.0
222,50,20.91775,0.0,0.0
186,50,21.51164,0.0,0.0
206,50,22.259079,0.04,0.05631882538017829
148,50,23.130075,0.14,0.15008828722778106
168,50,24.082821,0.06,0.04184397163120567
166,50,24.794323,0.08,0.08815239576246477
158,50,25.388193,0.12,0.13934760448521916
204,50,25.979047,0.06,0.020155923179311655
178,50,26.583048,0.12,0.11009097035040431
204,50,27.204854,0.02,0.0031122176773964077
128,50,27.802897,0.22,0.23002421307506055
206,50,28.39914,0.08,0.07133254915140312
142,50,29.032699,0.2,0.2543859649122807
204,50,29.713974,0.02,0.006841611996251172
156,50,30.335163,0.18,0.22498955286251568
166,50,30.927058,0.16,0.2027666883297744
186,50,31.597715,0.08,0.08210066514444554
190,50,32.211052,0.12,0.14986812358703844
182,50,32.881134,0.08,0.09000775928959392
108,50,33.480271,0.3,0.3356762917933131
164,50,34.283595,0.18,0.18100237047070775
168,50,36.662948,0.14,0.17082990209534266
146,50,38.351732,0.2,0.2424587863907401
178,50,39.010776,0.12,0.1849721706864564
182,50,39.710682,0.12,0.14955520669806385
154,50,40.339318,0.24,0.2761240725842496
186,50,40.992139,0.16,0.2146023960003773
172,50,41.697505,0.1,0.10720806886357707
192,50,42.424648,0.1,0.14395131675584932
150,50,43.074041,0.16,0.14332344213649853
144,50,43.736656,0.22,0.28060653054191437
192,50,44.439594,0.06,0.07397671798723245
156,50,45.185394,0.14,0.16603857237863
176,50,45.851084,0.14,0.17879436418762262
168,50,46.559453,0.14,0.18502928257686677
154,50,47.230491,0.16,0.22232806248809298
104,50,48.173391,0.42,0.4753909465020576
118,50,49.187401,0.32,0.3902857633227495
136,50,50.124085,0.22,0.2784872298624754
168,50,50.824741,0.14,0.20155359917141377
146,50,51.560076,0.2,0.25560581272254834
148,50,52.270298,0.18,0.21210486568130327
148,50,52.975769,0.22,0.26844426623897355
146,50,53.667417,0.2,0.23866281776701742
184,50,54.498422,0.14,0.1496565734739286
144,50,55.19476,0.3,0.35604564406407724
142,50,55.902983,0.28,0.3377009571601152
148,50,56.584706,0.26,0.30354957160342716
126,50,57.296718,0.36,0.467512908777969
154,50,58.009912,0.24,0.25571126895757346
144,50,58.728867,0.22,0.2619770745566768
130,50,59.451887,0.28,0.33007563525112604
170,50,60.471712,0.2,0.20983394436057795
140,50,61.592296,0.26,0.30659318228209836
156,50,62.572372,0.14,0.1574272886980285
120,50,63.249747,0.3,0.3566650024962556
128,50,63.958046,0.3,0.36934539648749337
156,50,64.659403,0.22,0.26683777325427027
118,50,65.370025,0.32,0.3740034041028397
160,50,66.089546,0.22,0.3204239706481859
120,50,66.805191,0.34,0.3875127248048863
122,50,67.49992,0.28,0.38127712337259767
96,50,68.214825,0.34,0.38219842392402503
150,50,69.385826,0.24,0.3413220705235242
96,50,70.575241,0.38,0.4593499677746064
156,50,71.739124,0.22,0.2698496905393457
146,50,72.693418,0.24,0.292675976061556
112,50,73.817086,0.34,0.42166836215666326
166,50,74.898802,0.24,0.2706248178019629
150,50,75.589891,0.24,0.3304785894206549
142,50,76.372369,0.24,0.2867342441604231
174,50,77.090439,0.2,0.2476170741815168
134,50,77.85275,0.28,0.342953857117406
112,50,78.585377,0.34,0.36890564714135393
154,50,79.336959,0.28,0.33816787530215886
126,50,80.038015,0.32,0.42606406318560774
124,50,80.776457,0.3,0.3830854685540226
112,50,81.481953,0.38,0.4806519165983793
124,50,82.235296,0.3,0.40734723350482893
164,50,82.967864,0.22,0.2660722665415298
96,50,83.712697,0.38,0.4575876310494546
98,50,84.447324,0.4,0.5072292443393652
144,50,85.631793,0.26,0.33393810032017074
120,50,86.879124,0.3,0.3797835035828632
128,50,87.7655,0.3,0.3610918544194107
122,50,88.527711,0.32,0.37097269100951213
146,50,89.316893,0.28,0.36453886627618387
126,50,90.080236,0.28,0.3420712571534059
132,50,90.86207,0.3,0.3871023813662437
180,50,91.639626,0.14,0.1829935824839562
140,50,92.452555,0.3,0.37098263760620614
166,50,93.249418,0.2,0.22817514277943976
100,50,94.043953,0.34,0.49063599201445
118,50,94.805432,0.36,0.4348917748917749
124,50,95.626444,0.26,0.3333663464395365
106,50,96.390285,0.4,0.4347238776321017
120,50,97.269934,0.3,0.3644111570247934
114,50,98.55585,0.32,0.37588020322666904
148,50,99.736915,0.26,0.340928349496281
122,50,100.537563,0.24,0.3068522276988499
150,50,101.358411,0.24,0.36664701257861637
132,50,102.147098,0.26,0.29997162047110015
132,50,102.932514,0.3,0.3975375431396325
152,50,103.760878,0.18,0.23711932579965525
124,50,104.645382,0.22,0.289225771521386
100,50,105.470495,0.38,0.39567626487419383
140,50,106.319943,0.22,0.24589421225506852
136,50,107.121802,0.26,0.3165918443696221
112,50,107.938331,0.3,0.36562935438922434
102,50,108.690011,0.4,0.46331345605392793
106,50,109.523929,0.36,0.4093471540280051
140,50,110.872968,0.26,0.338033228558599
118,50,112.176726,0.32,0.3222832980972516
112,50,112.981613,0.38,0.46307172094678767
124,50,113.789091,0.34,0.38053767512305947
130,50,114.615672,0.28,0.3457421159224612
134,50,115.50467,0.2,0.25360177318064275
116,50,116.377554,0.3,0.36241186042306994
114,50,117.244136,0.4,0.5392454854282138
152,50,118.106747,0.18,0.2531847133757962
132,50,118.975562,0.26,0.3113894552869211
126,50,119.820269,0.24,0.3095529411764706
148,50,120.674443,0.22,0.2897252090800478
82,50,121.503222,0.44,0.4974652041662826
