#{"t_start": 1669740533.663201, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,5.524208,0.0,0.0
50,50,5.972324,0.0,0.0
50,50,6.428614,0.0,0.0
50,50,7.304821,0.0,0.0
50,50,8.162064,0.0,0.0
50,50,8.649569,0.0,0.0
50,50,9.522001,0.0,0.0
50,50,9.979469,0.0,0.0
50,50,10.472012,0.0,0.0
50,50,10.968482,0.0,0.0
50,50,11.479511,0.0,0.0
50,50,11.998005,0.0,0.0
50,50,12.501949,0.0,0.0
50,50,12.982349,0.0,0.0
50,50,13.511047,0.0,0.0
50,50,13.998152,0.0,0.0
50,50,14.522844,0.0,0.0
50,50,15.061357,0.0,0.0
50,50,15.587497,0.0,0.0
50,50,16.101885,0.0,0.0
50,50,16.897519,0.0,0.0
50,50,17.651052,0.0,0.0
-16,50,18.430704,0.12,0.1611955951756686
-16,50,19.117232,0.12,0.14479105356091818
-49,50,19.803279,0.18,0.20709219858156028
-38,50,20.47622,0.16,0.1524929536398095
-71,50,21.175544,0.22,0.1838939857288481
17,50,21.924673,0.06,0.0830956455599924
-16,50,22.642713,0.12,0.09610849056603774
-126,50,23.287593,0.32,0.3683976524986662
-148,50,23.96353,0.36,0.391413671074688
-49,50,24.67254,0.18,0.2013947235758696
-5,50,25.409517,0.1,0.09228801169590643
-49,50,26.127782,0.18,0.24470477975632615
-16,50,26.860755,0.12,0.15704137066443793
-27,50,27.585184,0.14,0.13081422337758797
-93,50,28.282848,0.26,0.2783679142261491
-126,50,28.972143,0.32,0.3601168048229088
-38,50,29.709126,0.16,0.1764807310975084
-82,50,30.422487,0.24,0.26510258358662614
-104,50,31.148447,0.28,0.3024889942431426
-170,50,31.823835,0.4,0.45521090676182635
-126,50,32.537932,0.32,0.3437390389337075
-137,50,33.299039,0.34,0.4078849721706865
-60,50,34.047427,0.2,0.24081632653061225
-104,50,34.789249,0.28,0.3002592294627693
-71,50,35.53308,0.22,0.18809546269219884
-159,50,36.271775,0.38,0.3873576210764281
-104,50,37.024081,0.28,0.3744622809778617
-60,50,37.777348,0.2,0.20999010880316518
-159,50,38.519348,0.38,0.47324890152494187
-181,50,39.214098,0.42,0.5153022906496433
-170,50,39.944181,0.4,0.4849257370871204
-192,50,40.675514,0.44,0.4720884608525058
-115,50,41.430051,0.3,0.36731332357247437
-192,50,42.178264,0.44,0.48714040769670414
-225,50,42.946136,0.5,0.5499588477366255
-181,50,43.723088,0.42,0.4698360937097743
-159,50,44.482085,0.38,0.47465618860510805
-71,50,45.311179,0.22,0.2710512687726567
-170,50,46.090673,0.4,0.48753729188721007
-126,50,46.867651,0.32,0.340274031718632
-159,50,47.674978,0.38,0.41840417000801927
-203,50,48.409625,0.46,0.50144333736847
-214,50,49.149368,0.48,0.5726032698074877
-137,50,49.941297,0.34,0.4707044107965767
-159,50,50.740854,0.38,0.40665365672335285
-115,50,51.525506,0.3,0.301572356651916
-126,50,52.348811,0.32,0.4084552495697074
-104,50,53.162303,0.28,0.3034171626031868
-181,50,53.947709,0.42,0.47800529048692075
-148,50,54.748955,0.36,0.40843035608056427
-170,50,55.513999,0.4,0.42581410394651714
-192,50,56.302996,0.44,0.47325984894876505
-148,50,57.092562,0.36,0.38434511028694124
-93,50,57.875429,0.26,0.291462805791313
-170,50,58.657581,0.4,0.44713500088699665
-60,50,59.482351,0.2,0.27374103903000263
-126,50,60.303571,0.32,0.4073277792708053
-148,50,61.102291,0.36,0.4786995515695067
-126,50,61.920062,0.32,0.37173396674584325
-104,50,62.749403,0.28,0.3331266790659227
-181,50,63.56158,0.42,0.4703980602141847
-137,50,64.423239,0.34,0.4064433749140556
-181,50,65.243145,0.42,0.4933247398950373
-181,50,66.060155,0.42,0.5272325375773652
-181,50,66.916358,0.42,0.43003704759190653
-148,50,67.708565,0.36,0.4515768056968464
-104,50,68.563114,0.28,0.3571081527548343
-93,50,69.414486,0.26,0.36584382871536525
-170,50,70.239058,0.4,0.4501542529748788
-126,50,71.081778,0.32,0.3884169084127642
-192,50,71.90735,0.44,0.4307856761090326
-181,50,72.749281,0.42,0.4980708523325149
-203,50,73.59707,0.46,0.5111277819454864
-170,50,74.426755,0.4,0.4723124177270733
-148,50,75.32409,0.36,0.3853252105357463
-214,50,76.174608,0.48,0.5723390694710007
-126,50,77.03416,0.32,0.448776965430093
-148,50,77.874682,0.36,0.4509619896762084
-115,50,78.744137,0.3,0.4013555014296304
-203,50,79.590225,0.46,0.5526052559789033
-137,50,80.464029,0.34,0.38132337246531484
-159,50,81.336684,0.38,0.4538039335264522
-203,50,82.177709,0.46,0.48223570190641246
-126,50,83.046914,0.32,0.3752684872660325
-126,50,83.952211,0.32,0.44922068897051526
-82,50,84.869462,0.24,0.3161343917297397
-170,50,85.755967,0.4,0.4673213975317226
-181,50,86.627584,0.42,0.5389769724424311
-181,50,87.51578,0.42,0.49732175840413745
-104,50,88.424498,0.28,0.315927839724413
