#{"t_start": 1669647723.6898153, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,6.178501,0.0,0.0
50,50,6.659712,0.0,0.0
50,50,7.189274,0.0,0.0
50,50,7.688025,0.0,0.0
50,50,8.174104,0.0,0.0
50,50,8.657644,0.0,0.0
50,50,9.133831,0.0,0.0
50,50,9.627891,0.0,0.0
50,50,10.163217,0.0,0.0
50,50,10.656667,0.0,0.0
50,50,11.171826,0.0,0.0
50,50,11.681609,0.0,0.0
50,50,12.200336,0.0,0.0
50,50,12.749972,0.0,0.0
50,50,13.292076,0.0,0.0
50,50,13.840989,0.0,0.0
50,50,14.409958,0.0,0.0
50,50,14.964473,0.0,0.0
50,50,15.524004,0.0,0.0
50,50,16.062494,0.0,0.0
50,50,16.880551,0.0,0.0
50,50,17.617654,0.0,0.0
50,50,18.316514,0.0,0.0
50,50,19.008866,0.0,0.0
50,50,19.865071,0.0,0.0
50,50,20.695918,0.0,0.0
50,50,21.423952,0.0,0.0
50,50,22.113325,0.0,0.0
50,50,22.825438,0.0,0.0
50,50,23.5175,0.0,0.0
50,50,24.265446,0.0,0.0
17,50,24.966145,0.06,0.06973617879348008
-60,50,25.693557,0.2,0.2382127192982456
6,50,26.42415,0.08,0.12539831302717902
-27,50,27.18148,0.14,0.16489761805265357
-16,50,27.940341,0.12,0.10955343050784513
6,50,28.702823,0.08,0.0969919587014792
-27,50,29.444292,0.14,0.1384702336096458
-16,50,30.192502,0.12,0.12268298991292353
-49,50,30.932168,0.18,0.20887158054711247
-5,50,31.690383,0.1,0.1295292922451744
-27,50,32.460131,0.14,0.15673895141367006
-16,50,33.222671,0.12,0.10110487548228692
-60,50,33.981815,0.2,0.2564935064935065
-5,50,34.767107,0.1,0.13825222396650969
-27,50,35.547304,0.14,0.1679628139805131
-27,50,36.334083,0.14,0.17441750778228468
-5,50,37.11594,0.1,0.12033736196852447
6,50,37.953549,0.08,0.09390410240268597
6,50,38.723216,0.08,0.08931750741839763
-16,50,39.531902,0.12,0.17239596795037476
-5,50,40.289164,0.1,0.1079609463011641
-71,50,41.077324,0.22,0.2620261582797606
-71,50,41.806216,0.22,0.24522917781344747
-16,50,42.605781,0.12,0.16169472913616398
-38,50,43.374111,0.16,0.1514574204610402
-137,50,44.112624,0.34,0.3861728395061728
-60,50,44.922245,0.2,0.23908006521925684
-27,50,45.719816,0.14,0.1712180746561886
-60,50,46.517039,0.2,0.3200414293112377
-93,50,47.278462,0.26,0.3289385044750265
-71,50,48.079601,0.22,0.3088790592296904
-82,50,48.857569,0.24,0.3017241379310345
-148,50,49.627996,0.36,0.39119098612533754
-159,50,50.426544,0.38,0.4866982683563897
-82,50,51.208489,0.24,0.37436910247970157
-60,50,52.0302,0.2,0.2546231762847319
-93,50,52.838121,0.26,0.3392335938235571
-115,50,53.668883,0.3,0.39802065404475045
-38,50,54.492255,0.16,0.193511230562488
-148,50,55.277119,0.36,0.46585676496521994
-170,50,56.071816,0.4,0.49315883402736466
-148,50,56.839761,0.36,0.43886133275824885
-115,50,57.634546,0.3,0.31618697693406816
-93,50,58.460958,0.26,0.2818660940854968
-71,50,59.345365,0.22,0.28427358961557664
-71,50,60.231599,0.22,0.29253148838034415
-60,50,61.056479,0.2,0.2734755288078591
-82,50,61.903638,0.24,0.27967392278061454
-49,50,62.718094,0.18,0.23664900122299226
-93,50,63.549916,0.26,0.3187139463861554
-104,50,64.404396,0.28,0.34945236619136183
-82,50,65.247207,0.24,0.27399474641341687
-71,50,66.125447,0.22,0.2917198703467243
-148,50,66.935234,0.36,0.4761071724518921
-126,50,67.749192,0.32,0.4004420866489832
-126,50,68.592934,0.32,0.3939393939393939
-82,50,69.418679,0.24,0.36948118006103764
-71,50,70.276946,0.22,0.2721795743853853
-82,50,71.103034,0.24,0.3528463476070529
-126,50,71.919073,0.32,0.3770824151608638
-137,50,72.723416,0.34,0.41255698300870286
-49,50,73.583411,0.18,0.224567967218956
-93,50,74.460246,0.26,0.3612767450017538
-93,50,75.288453,0.26,0.2979078102859048
-104,50,76.108795,0.28,0.33865730583589293
-82,50,76.989296,0.24,0.2947500447948396
-148,50,77.811006,0.36,0.44204679959938087
-126,50,78.6877,0.32,0.3943496705478834
-82,50,79.585742,0.24,0.2542468324730174
-137,50,80.428453,0.34,0.4209467330297575
-126,50,81.304888,0.32,0.4313903791943257
-115,50,82.168757,0.3,0.3701173959445037
-104,50,83.018668,0.28,0.3168165878944961
-137,50,83.915667,0.34,0.36568457538994803
-93,50,84.804732,0.26,0.31379768845249056
-126,50,85.705646,0.32,0.40524173533207586
-82,50,86.634833,0.24,0.2920435665497508
-93,50,87.525913,0.26,0.2858508604206501
-126,50,88.420957,0.32,0.3947716119290298
-126,50,89.355741,0.32,0.393332101957887
-93,50,90.255183,0.26,0.32444927930378026
-137,50,91.17144,0.34,0.47371423139081664
-82,50,92.061837,0.24,0.30562770562770564
-93,50,92.944989,0.26,0.3449539467168466
-115,50,93.861282,0.3,0.32936034962256655
-148,50,94.773848,0.36,0.4418904958677686
-115,50,95.736,0.3,0.3949549870754969
-60,50,96.68655,0.2,0.266735712268148
-71,50,97.646874,0.22,0.28520344061080505
-49,50,98.611808,0.18,0.2439072327044025
-115,50,99.526891,0.3,0.40270551508844954
-104,50,100.403427,0.28,0.402760936479806
-60,50,101.316038,0.2,0.2855774755793909
-71,50,102.275154,0.22,0.23757444504602057
-82,50,103.228485,0.24,0.28186029612135527
-82,50,104.207168,0.24,0.3214407067618077
-93,50,105.136112,0.26,0.3290310512532735
-60,50,106.100625,0.2,0.27784486762656757
-93,50,106.997794,0.26,0.3063693717051249
-137,50,107.922586,0.34,0.4551736679396254
-71,50,108.88158,0.22,0.29717108217332733
-71,50,109.827728,0.22,0.3129809725158562
-137,50,110.746691,0.34,0.4345969033635878
-71,50,111.71565,0.22,0.24233244982961
-104,50,112.634603,0.28,0.3243321438904427
-115,50,113.592836,0.3,0.38557443664573327
-137,50,114.529796,0.34,0.3612366660640029
-126,50,115.458894,0.32,0.44895404970498837
-16,50,116.41679,0.12,0.14827650805545148
-93,50,117.396057,0.26,0.33935333527526945
-104,50,118.337743,0.28,0.35049411764705884
-82,50,119.268012,0.24,0.3236758263639984
-137,50,120.277401,0.34,0.37920545672412204
-60,50,121.263578,0.2,0.24701691896705255
-49,50,122.203727,0.18,0.18671850373016707
-71,50,123.170302,0.22,0.29238690695108494
-60,50,124.13753,0.2,0.22100848532136935
-71,50,125.073743,0.22,0.25006753714543
-60,50,126.050452,0.2,0.23735408560311283
-27,50,127.06623,0.14,0.20159535895576505
-16,50,128.04702,0.12,0.1377949302692746
-115,50,129.004308,0.3,0.33736450774881305
-71,50,129.987138,0.22,0.2574485748547182
-49,50,130.925942,0.18,0.18706579485083777
-60,50,131.857533,0.2,0.2601912430800201
-82,50,132.849342,0.24,0.3363339598377683
-93,50,133.771019,0.26,0.31137840721699483
-93,50,134.710243,0.26,0.3648776389034765
-60,50,135.668047,0.2,0.3110760430022685
-170,50,136.600454,0.4,0.48032143183270937
-93,50,137.562524,0.26,0.33955746428904865
-104,50,138.565343,0.28,0.3620921305182342
-82,50,139.567596,0.24,0.2575107296137339
-148,50,140.544672,0.36,0.44727366255144035
-104,50,141.528037,0.28,0.3098421634663718
-71,50,142.523936,0.22,0.3273792093704246
-126,50,143.522249,0.32,0.40310142497904444
-49,50,144.533948,0.18,0.2373943000313185
-126,50,145.52828,0.32,0.43502304147465437
-71,50,146.555941,0.22,0.2870036101083033
-93,50,147.521261,0.26,0.34162700129813933
-60,50,148.541633,0.2,0.2631069839427355
-115,50,149.593841,0.3,0.35394240500506025
-115,50,150.595485,0.3,0.373909626719057
-49,50,151.641932,0.18,0.2596463022508039
-93,50,152.652252,0.26,0.33458423859371916
-60,50,153.685307,0.2,0.2416447615471273
-93,50,154.714792,0.26,0.3520390070921986
-104,50,155.732576,0.28,0.3284058764485811
-71,50,156.744265,0.22,0.2575284612559677
-104,50,157.784052,0.28,0.34083940206975855
-93,50,158.76489,0.26,0.33371579876434243
-60,50,159.760899,0.2,0.28503046127067017
-38,50,160.760666,0.16,0.19787276740919124
-104,50,161.763823,0.28,0.3035386631716907
-82,50,162.762842,0.24,0.3010697387368854
-49,50,163.781259,0.18,0.20641164322942276
-93,50,164.801495,0.26,0.350523295070898
-60,50,165.788887,0.2,0.2501575961336415
