#{"t_start": 1668544598.6380892, "env_id": "DeepRMSA-v0"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate
50,50,12.003429,0.0,0.0
50,50,12.887176,0.0,0.0
50,50,13.74119,0.0,0.0
50,50,14.590338,0.0,0.0
50,50,15.451025,0.0,0.0
50,50,16.414991,0.0,0.0
50,50,17.321476,0.0,0.0
50,50,18.182962,0.0,0.0
50,50,18.679682,0.0,0.0
50,50,19.18884,0.0,0.0
50,50,19.702737,0.0,0.0
50,50,20.210861,0.0,0.0
50,50,20.725184,0.0,0.0
50,50,21.280368,0.0,0.0
50,50,21.842812,0.0,0.0
50,50,22.367885,0.0,0.0
50,50,22.921796,0.0,0.0
50,50,23.455669,0.0,0.0
50,50,24.001368,0.0,0.0
50,50,24.551979,0.0,0.0
50,50,25.336564,0.0,0.0
48,50,26.037761,0.02,0.021409872849663426
38,50,26.706158,0.12,0.16948085998951232
32,50,27.405233,0.18,0.17843829703747302
24,50,28.059353,0.26,0.31648936170212766
28,50,28.709047,0.22,0.2700942754397901
14,50,29.342662,0.36,0.46931702344546383
24,50,30.014205,0.26,0.2895037079292641
16,50,30.673598,0.34,0.3680087601078167
16,50,31.333858,0.34,0.3961408500800285
18,50,31.992392,0.32,0.42493946731234866
12,50,32.654704,0.38,0.4358091077129894
26,50,33.362973,0.24,0.3159722222222222
24,50,34.102391,0.26,0.28969072164948456
10,50,34.789833,0.4,0.4530714584203928
34,50,35.517483,0.16,0.20295237211029615
8,50,36.243855,0.42,0.4963764519011218
16,50,36.94993,0.34,0.42200452147701584
26,50,37.657811,0.24,0.32166566083283044
18,50,38.344868,0.32,0.43075607902735563
18,50,39.034709,0.32,0.3994243142566881
10,50,39.712959,0.4,0.48869978955073656
26,50,40.413154,0.24,0.27043142756927396
14,50,41.130408,0.36,0.34239332096474956
16,50,42.063769,0.34,0.39623233908948197
-2,50,43.208482,0.52,0.5964065433091982
16,50,44.427391,0.34,0.3814734459013301
6,50,45.662671,0.44,0.524041387705417
24,50,46.449224,0.26,0.33354317490294827
32,50,47.197643,0.18,0.23639960435212662
18,50,47.950654,0.32,0.3639183251486172
10,50,48.686175,0.4,0.4595381149079985
16,50,49.4877,0.34,0.38993571270228333
22,50,50.28325,0.28,0.3082753700731229
28,50,51.072541,0.22,0.2692166910688141
-2,50,51.811309,0.52,0.6437416650790627
2,50,52.552259,0.48,0.5666666666666667
