#{"t_start": 1674662894.567299, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.85009,0.0,0.0,0,47,2,1
50,50,1.295262,0.0,0.0,0,48,2,0
50,50,1.724931,0.0,0.0,0,46,4,0
50,50,2.177569,0.0,0.0,0,42,8,0
50,50,2.63399,0.0,0.0,0,36,14,0
50,50,3.084166,0.0,0.0,0,46,4,0
50,50,3.548069,0.0,0.0,0,42,8,0
50,50,4.02007,0.0,0.0,0,44,4,2
50,50,4.491271,0.0,0.0,0,32,13,5
50,50,4.971743,0.0,0.0,0,23,20,7
50,50,5.481673,0.0,0.0,0,16,20,14
50,50,5.988182,0.0,0.0,0,18,18,14
50,50,6.489449,0.0,0.0,0,11,23,16
50,50,6.976221,0.0,0.0,0,15,21,14
50,50,7.503239,0.0,0.0,0,14,25,11
50,50,8.029262,0.0,0.0,0,20,18,12
50,50,8.543688,0.0,0.0,0,8,31,11
50,50,9.066772,0.0,0.0,0,18,21,11
50,50,9.600866,0.0,0.0,0,12,21,17
50,50,10.119718,0.0,0.0,0,16,21,13
50,50,10.641414,0.0,0.0,0,16,18,16
50,50,11.194149,0.0,0.0,0,15,15,20
50,50,11.738005,0.0,0.0,0,21,18,11
50,50,12.298638,0.0,0.0,0,18,14,18
50,50,12.827845,0.0,0.0,0,17,12,21
50,50,13.385825,0.0,0.0,0,15,7,28
50,50,13.934963,0.0,0.0,0,24,10,16
50,50,14.483896,0.0,0.0,0,16,8,26
50,50,15.044259,0.0,0.0,0,14,11,25
50,50,15.633167,0.0,0.0,0,17,11,22
50,50,16.191617,0.0,0.0,0,18,9,23
50,50,16.766069,0.0,0.0,0,22,8,20
50,50,17.335431,0.0,0.0,0,15,6,29
50,50,17.921721,0.0,0.0,0,16,9,25
50,50,18.509284,0.0,0.0,0,11,3,36
50,50,19.092613,0.0,0.0,1,13,17,19
50,50,19.678132,0.0,0.0,0,8,23,19
50,50,20.258734,0.0,0.0,3,14,14,19
50,50,20.838175,0.0,0.0,2,7,29,12
50,50,21.426268,0.0,0.0,1,10,22,17
50,50,22.027314,0.0,0.0,0,10,29,11
50,50,22.615624,0.0,0.0,6,12,21,11
50,50,23.231086,0.0,0.0,11,11,18,10
50,50,23.81777,0.0,0.0,18,15,7,10
50,50,24.407082,0.0,0.0,14,14,10,12
50,50,24.993146,0.0,0.0,15,14,13,8
50,50,25.582777,0.0,0.0,24,7,7,12
50,50,26.194936,0.0,0.0,16,6,11,17
50,50,26.806223,0.0,0.0,20,13,8,9
50,50,27.418251,0.0,0.0,23,7,10,10
50,50,28.069094,0.0,0.0,20,6,12,12
50,50,28.688946,0.0,0.0,21,6,10,13
50,50,29.32114,0.0,0.0,17,12,8,13
36,50,29.927462,0.14,0.19837771116205255,18,4,10,11
38,50,30.534962,0.12,0.13229571984435798,11,9,5,19
18,50,31.084623,0.32,0.3253836198927713,9,10,11,4
26,50,31.65185,0.24,0.2740198640878202,10,9,7,12
46,50,32.287908,0.04,0.04111170307227846,11,9,22,6
40,50,32.917919,0.1,0.10685719421227645,10,11,17,7
32,50,33.505859,0.18,0.25054769966142204,12,9,13,7
26,50,34.101321,0.24,0.3010786469787412,12,8,7,11
38,50,34.693636,0.12,0.12548946485176207,15,5,15,9
30,50,35.312633,0.2,0.20848384766229744,13,5,13,9
30,50,35.922703,0.2,0.24382982809949102,10,11,10,9
30,50,36.55619,0.2,0.2533780451721077,16,5,10,9
32,50,37.196495,0.18,0.24229261574319313,14,7,9,11
36,50,37.803649,0.14,0.17719905299581132,20,3,15,5
22,50,38.4052,0.28,0.29999055445357514,10,8,10,8
6,50,38.972045,0.44,0.5306335274180933,11,8,5,4
18,50,39.553437,0.32,0.40601011046620483,7,10,9,8
24,50,40.146315,0.26,0.3340913397763881,7,14,9,7
14,50,40.69953,0.36,0.40072537896401006,10,7,5,10
20,50,41.312736,0.3,0.3108699173821481,10,8,12,5
34,50,41.940541,0.16,0.2015170151701517,7,16,12,7
18,50,42.562201,0.32,0.40849364028171975,8,6,9,11
36,50,43.223711,0.14,0.19048933038999263,10,7,14,12
22,50,43.815179,0.28,0.36522307261526976,9,11,10,6
30,50,44.462157,0.2,0.301167009904874,9,8,10,13
26,50,45.089426,0.24,0.3215576073865917,12,7,12,7
18,50,45.70263,0.32,0.40484739676840215,5,6,11,12
20,50,46.296207,0.3,0.33409158342399364,15,7,6,7
30,50,46.91376,0.2,0.2458601207870641,13,5,13,9
22,50,47.539319,0.28,0.3397147147147147,10,6,9,11
4,50,48.093038,0.46,0.4773701354363106,9,5,7,6
10,50,48.695934,0.4,0.469586806171307,7,6,11,6
20,50,49.361683,0.3,0.445067477665843,9,8,10,8
18,50,49.966087,0.32,0.35027241208519067,6,10,10,8
18,50,50.582639,0.32,0.40524753423345783,4,10,10,10
10,50,51.165763,0.4,0.578918261254286,5,10,6,9
6,50,51.760891,0.44,0.5241218219387297,8,2,9,9
14,50,52.382709,0.36,0.47050411154808724,5,4,12,11
2,50,52.968567,0.48,0.5739824698429229,3,11,7,5
12,50,53.598579,0.38,0.47574626865671643,8,6,7,10
10,50,54.182344,0.4,0.4973898708672955,6,9,8,7
30,50,54.853586,0.2,0.28047816637028256,11,10,10,9
22,50,55.496619,0.28,0.3388318290279075,11,10,9,6
16,50,56.136263,0.34,0.4313275149288011,7,11,7,8
