,Source,Destination,Reason,Path,Nodes,Band,Available_Other
0,17,5,Slots Full,2,,2,1
1,6,13,Slots Full,1,,1,1
2,13,5,Slots Full,2,,2,1
3,12,5,Slots Full,2,,2,1
4,13,5,Slots Full,2,,2,0
5,17,5,Slots Full,2,,2,1
6,4,12,Slots Full,2,,2,1
7,13,3,Slots Full,2,,1,1
8,8,13,Slots Full,2,,1,1
9,4,13,Slots Full,2,,2,0
10,12,13,Slots Full,2,,2,1
11,3,12,Slots Full,2,,2,0
12,12,5,Slots Full,2,,2,1
13,12,5,Slots Full,2,,2,1
14,4,12,Slots Full,2,,2,1
15,5,17,Slots Full,2,,2,1
16,6,15,Slots Full,2,,2,0
17,4,17,Slots Full,4,,3,1
18,6,13,Slots Full,2,,2,0
19,7,13,Slots Full,4,,3,1
20,13,8,Slots Full,2,,2,1
21,5,13,Slots Full,2,,2,0
22,3,13,Slots Full,2,,2,0
23,11,5,Slots Full,2,,2,1
24,17,3,Slots Full,2,,2,1
25,3,14,Slots Full,2,,2,0
26,14,4,Slots Full,2,,2,0
27,5,16,Slots Full,2,,2,0
28,3,13,Slots Full,2,,2,1
29,14,3,Slots Full,4,,3,1
30,16,5,Slots Full,2,,2,0
31,1,14,Slots Full,2,,2,0
32,1,15,Slots Full,2,,2,0
33,17,5,Slots Full,2,,2,1
34,17,3,Slots Full,2,,2,1
35,14,3,Slots Full,2,,2,1
36,12,5,Slots Full,2,,2,1
37,4,14,Slots Full,2,,2,0
38,14,5,Slots Full,2,,2,0
39,13,3,Slots Full,2,,1,1
40,12,3,Slots Full,2,,2,1
41,3,15,Slots Full,4,,3,0
42,1,14,Slots Full,2,,2,0
43,17,5,Slots Full,2,,2,1
44,15,5,Slots Full,2,,2,0
45,13,1,Slots Full,2,,2,0
46,11,3,Slots Full,2,,2,1
47,2,14,Slots Full,2,,2,1
48,14,5,Slots Full,4,,3,0
49,4,15,Slots Full,2,,2,0
50,5,17,Slots Full,4,,3,1
51,14,4,Slots Full,2,,2,0
