#{"t_start": 1677711752.5385807, "env_id": "DeepRMSA-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected,num_path1_selected,num_path2_selected,num_path3_selected,num_path4_selected,num_path5_selected,total_path_length_per_episode
50,50,0.65103,0.0,0.0,0,49,1,0,0,1,0,49,0,38089
50,50,1.300372,0.0,0.0,0,49,1,0,0,1,0,49,0,40160
50,50,1.95027,0.0,0.0,0,49,1,0,0,1,0,49,0,38572
50,50,2.605423,0.0,0.0,0,50,0,0,0,0,0,50,0,41291
50,50,3.28855,0.0,0.0,0,49,1,0,0,1,0,49,0,37614
50,50,4.134022,0.0,0.0,0,50,0,0,0,0,0,50,0,37935
50,50,5.166352,0.0,0.0,0,49,1,0,0,0,0,50,0,39634
50,50,6.204418,0.0,0.0,0,48,2,0,0,0,0,50,0,37520
50,50,6.938697,0.0,0.0,0,35,13,2,3,3,0,44,0,37013
50,50,7.616485,0.0,0.0,0,36,11,3,7,3,0,40,0,34203
50,50,8.338584,0.0,0.0,0,29,16,5,1,7,0,42,0,36937
50,50,9.02307,0.0,0.0,0,25,17,8,6,6,0,38,0,35206
50,50,9.722881,0.0,0.0,0,20,23,7,1,10,0,39,0,34970
50,50,10.418141,0.0,0.0,0,31,15,4,0,4,0,46,0,35283
50,50,11.170435,0.0,0.0,0,28,15,7,2,6,1,41,0,35998
50,50,11.993544,0.0,0.0,0,29,16,5,1,4,0,44,1,37227
50,50,13.138604,0.0,0.0,0,29,20,1,1,1,0,48,0,36291
50,50,14.544674,0.0,0.0,0,28,20,2,3,2,0,45,0,36719
50,50,15.345462,0.0,0.0,0,21,24,5,3,4,0,42,1,35766
50,50,16.068696,0.0,0.0,0,19,29,2,1,3,0,46,0,37038
50,50,17.152979,0.0,0.0,0,24,18,8,1,6,0,42,1,35705
50,50,18.356909,0.0,0.0,0,34,14,2,0,2,0,48,0,36952
50,50,19.273474,0.0,0.0,0,31,18,1,1,2,0,47,0,39153
50,50,20.031778,0.0,0.0,0,23,21,6,1,6,0,42,1,36785
50,50,20.845231,0.0,0.0,0,21,21,8,1,7,0,41,1,36235
50,50,21.772732,0.0,0.0,0,23,24,3,0,3,0,47,0,39166
50,50,22.559833,0.0,0.0,0,31,17,2,2,3,0,45,0,37527
50,50,23.329878,0.0,0.0,0,25,20,5,0,5,0,45,0,37079
50,50,24.160394,0.0,0.0,0,28,19,3,2,3,0,45,0,37152
50,50,24.940657,0.0,0.0,0,27,19,4,0,4,0,46,0,37578
50,50,25.753862,0.0,0.0,0,30,17,3,3,3,0,44,0,37744
50,50,26.551695,0.0,0.0,0,27,19,4,0,4,0,46,0,36789
50,50,27.312037,0.0,0.0,0,20,22,8,0,8,0,42,0,35761
50,50,28.120594,0.0,0.0,0,25,21,4,1,4,0,45,0,36441
50,50,28.969073,0.0,0.0,0,21,24,5,2,3,0,45,0,38879
50,50,30.16207,0.0,0.0,0,22,22,6,1,6,0,43,0,36058
50,50,31.372831,0.0,0.0,0,20,22,8,4,7,0,39,0,34287
50,50,32.157949,0.0,0.0,0,17,29,4,3,2,0,45,0,36941
