#{"t_start": 1674697074.9157429, "env_id": "DeepRMSAKSP-v1"}
r,l,t,episode_service_blocking_rate,episode_bit_rate_blocking_rate,num_C_selected,num_L_selected,num_S_selected,num_E_selected
50,50,0.865189,0.0,0.0,50,0,0,0
50,50,1.316663,0.0,0.0,50,0,0,0
50,50,1.766731,0.0,0.0,50,0,0,0
50,50,2.215656,0.0,0.0,50,0,0,0
50,50,2.67016,0.0,0.0,50,0,0,0
50,50,3.092725,0.0,0.0,50,0,0,0
50,50,3.575415,0.0,0.0,50,0,0,0
50,50,4.032054,0.0,0.0,46,4,0,0
50,50,4.50438,0.0,0.0,39,11,0,0
50,50,4.951928,0.0,0.0,40,10,0,0
50,50,5.425269,0.0,0.0,37,13,0,0
50,50,5.893185,0.0,0.0,31,19,0,0
50,50,6.378839,0.0,0.0,25,25,0,0
50,50,6.848254,0.0,0.0,32,18,0,0
50,50,7.352541,0.0,0.0,29,21,0,0
50,50,7.813866,0.0,0.0,29,21,0,0
50,50,8.305014,0.0,0.0,21,29,0,0
50,50,8.784175,0.0,0.0,26,24,0,0
50,50,9.286076,0.0,0.0,17,33,0,0
50,50,9.78705,0.0,0.0,22,27,1,0
50,50,10.292933,0.0,0.0,22,19,9,0
50,50,10.800577,0.0,0.0,23,21,6,0
50,50,11.336751,0.0,0.0,19,23,8,0
50,50,11.855831,0.0,0.0,14,25,11,0
50,50,12.416047,0.0,0.0,15,25,10,0
50,50,12.916681,0.0,0.0,16,27,7,0
50,50,13.452506,0.0,0.0,24,16,10,0
50,50,13.974997,0.0,0.0,15,26,9,0
50,50,14.51758,0.0,0.0,12,32,6,0
50,50,15.044897,0.0,0.0,15,26,9,0
50,50,15.653381,0.0,0.0,12,28,10,0
50,50,16.21413,0.0,0.0,10,29,11,0
50,50,16.764433,0.0,0.0,13,22,15,0
50,50,17.303156,0.0,0.0,16,20,14,0
50,50,17.845183,0.0,0.0,10,25,15,0
50,50,18.411652,0.0,0.0,12,20,18,0
50,50,19.035045,0.0,0.0,7,27,16,0
50,50,19.638441,0.0,0.0,10,22,18,0
50,50,20.228275,0.0,0.0,9,24,17,0
50,50,20.81801,0.0,0.0,19,16,15,0
50,50,21.409283,0.0,0.0,13,15,22,0
50,50,21.972957,0.0,0.0,13,23,14,0
50,50,22.610666,0.0,0.0,15,15,20,0
50,50,23.177916,0.0,0.0,19,12,19,0
50,50,23.799888,0.0,0.0,9,14,26,1
50,50,24.374043,0.0,0.0,18,13,18,1
50,50,24.967721,0.0,0.0,12,14,20,4
50,50,25.532403,0.0,0.0,9,17,18,6
50,50,26.117005,0.0,0.0,16,11,15,8
50,50,26.698247,0.0,0.0,15,13,15,7
50,50,27.297625,0.0,0.0,9,11,24,6
50,50,27.865295,0.0,0.0,18,12,12,8
50,50,28.474046,0.0,0.0,8,17,15,10
50,50,29.07391,0.0,0.0,7,12,22,9
50,50,29.672879,0.0,0.0,12,15,16,7
50,50,30.303921,0.0,0.0,4,12,22,12
50,50,30.897532,0.0,0.0,7,21,14,8
50,50,31.4929,0.0,0.0,11,19,18,2
50,50,32.087464,0.0,0.0,15,13,16,6
50,50,32.709604,0.0,0.0,14,12,17,7
50,50,33.336009,0.0,0.0,8,13,18,11
50,50,33.942825,0.0,0.0,10,12,20,8
50,50,34.577864,0.0,0.0,8,5,27,10
50,50,35.17191,0.0,0.0,15,5,20,10
50,50,35.776506,0.0,0.0,11,8,25,6
50,50,36.426761,0.0,0.0,10,12,19,9
50,50,37.066,0.0,0.0,9,5,27,9
50,50,37.672597,0.0,0.0,14,11,18,7
50,50,38.306485,0.0,0.0,10,10,18,12
50,50,38.944685,0.0,0.0,7,12,22,9
50,50,39.56718,0.0,0.0,16,7,16,11
50,50,40.187554,0.0,0.0,12,8,16,14
50,50,40.817369,0.0,0.0,4,16,17,13
50,50,41.438392,0.0,0.0,15,11,17,7
50,50,42.095793,0.0,0.0,10,10,19,11
50,50,42.741286,0.0,0.0,7,12,23,8
50,50,43.3788,0.0,0.0,9,10,11,20
50,50,44.021641,0.0,0.0,8,11,16,15
50,50,44.685191,0.0,0.0,14,7,12,17
50,50,45.334043,0.0,0.0,9,8,17,16
48,50,45.973339,0.02,0.03125309069330432,13,7,12,17
50,50,46.656694,0.0,0.0,8,9,23,10
48,50,47.295475,0.02,0.03049924924924925,10,12,11,16
42,50,47.942476,0.08,0.08794788273615635,6,12,11,17
46,50,48.619055,0.04,0.06268841993261216,8,11,13,16
38,50,49.252676,0.12,0.18798707470062725,10,8,11,15
44,50,49.932572,0.06,0.09638434868746905,10,13,8,16
32,50,50.568786,0.18,0.19659101790673178,11,6,18,6
38,50,51.173405,0.12,0.19632783984072558,16,6,12,10
32,50,51.777437,0.18,0.19540023358188843,14,10,6,11
36,50,52.42423,0.14,0.16204862352520558,10,12,10,11
28,50,53.011554,0.22,0.24342619109606872,8,10,15,6
30,50,53.633861,0.2,0.24347014925373134,11,9,12,8
36,50,54.264565,0.14,0.15431816100375492,12,9,9,13
44,50,54.891789,0.06,0.07300928670223276,9,17,12,9
36,50,55.531362,0.14,0.1436871044714182,11,7,16,9
28,50,56.1257,0.22,0.22599908130454754,10,2,12,15
34,50,56.752445,0.16,0.19978969505783387,9,6,11,16
32,50,57.381101,0.18,0.2231404958677686,5,14,13,9
40,50,58.015976,0.1,0.14794902429311033,9,10,14,12
36,50,58.659348,0.14,0.13553370786516855,4,12,16,11
40,50,59.31169,0.1,0.10656499907011345,14,5,9,17
42,50,59.94029,0.08,0.12569437906035213,10,10,15,11
42,50,60.589029,0.08,0.0909005804156525,14,11,5,16
40,50,61.2393,0.1,0.1178147268408551,10,9,10,16
42,50,61.898327,0.08,0.12903857450558057,8,11,14,13
36,50,62.555447,0.14,0.17466115543593194,8,13,14,8
40,50,63.201285,0.1,0.1332844813548282,6,10,11,18
40,50,63.837848,0.1,0.1436077057793345,13,8,10,14
34,50,64.490786,0.16,0.19109443148392333,10,7,10,15
32,50,65.108106,0.18,0.21497345451273284,10,6,7,18
36,50,65.763393,0.14,0.13165365507452093,9,4,10,20
28,50,66.40378,0.22,0.2957696091583937,8,7,10,14
28,50,67.013735,0.22,0.21856961158399374,12,11,8,8
38,50,67.660633,0.12,0.12965031360082482,9,12,13,10
32,50,68.284823,0.18,0.2167981438515081,11,8,10,12
22,50,68.879069,0.28,0.37097470430803764,12,10,5,9
30,50,69.506812,0.2,0.28933127174333206,8,7,15,10
30,50,70.129447,0.2,0.2258008356545961,13,3,10,14
40,50,70.779234,0.1,0.14902441323404655,12,16,10,7
38,50,71.427037,0.12,0.16764490095377843,8,13,15,8
30,50,72.063953,0.2,0.20295963285567106,5,14,8,13
34,50,72.714074,0.16,0.19618777248301733,12,12,11,7
30,50,73.327266,0.2,0.29767173369251493,13,12,4,11
26,50,73.96856,0.24,0.26348467209934034,9,10,7,12
32,50,74.61883,0.18,0.23391812865497075,10,7,11,13
18,50,75.209567,0.32,0.34798572157062724,7,13,8,6
26,50,75.831191,0.24,0.316082876521416,10,12,9,7
16,50,76.433011,0.34,0.371494875265906,8,11,7,7
32,50,77.060149,0.18,0.23776091081593928,14,7,8,12
12,50,77.663832,0.38,0.44886363636363635,11,4,6,10
28,50,78.270311,0.22,0.2857914640734738,13,9,6,11
16,50,78.8625,0.34,0.4835714285714286,10,7,6,10
40,50,79.521657,0.1,0.10379724162636575,9,13,8,15
28,50,80.19714,0.22,0.2926580210354335,14,11,7,7
20,50,80.830457,0.3,0.35667018317828714,13,9,5,8
20,50,81.443044,0.3,0.37205567451820126,6,11,9,9
36,50,82.11072,0.14,0.19869437293122472,11,10,12,10
30,50,82.77166,0.2,0.19503321733628598,6,10,5,19
28,50,83.416586,0.22,0.3047337278106509,12,9,9,9
18,50,84.064471,0.32,0.4018724921979492,10,6,1,17
30,50,84.729769,0.2,0.22302529685080022,9,15,6,10
20,50,85.339949,0.3,0.3836198379766845,13,8,8,6
26,50,85.977666,0.24,0.25368903709879115,8,7,14,9
18,50,86.595493,0.32,0.40187872023809523,8,10,7,9
46,50,87.281953,0.04,0.0630690440060698,10,14,11,13
32,50,87.941476,0.18,0.27680272791094174,11,10,8,12
26,50,88.595675,0.24,0.3224561403508772,6,10,15,7
26,50,89.251227,0.24,0.3440327650252405,8,11,9,10
24,50,89.886709,0.26,0.3228449402946047,11,8,8,10
28,50,90.544753,0.22,0.28186207524824636,8,9,10,12
26,50,91.235234,0.24,0.34375,7,9,13,9
32,50,91.902158,0.18,0.23999629492404595,9,11,9,12
24,50,92.561422,0.26,0.2835820895522388,13,7,9,8
30,50,93.221916,0.2,0.22033583820391503,7,12,10,11
26,50,93.863539,0.24,0.326605504587156,12,8,10,8
24,50,94.51658,0.26,0.3122875182127246,7,14,5,11
18,50,95.163722,0.32,0.4085337325722841,9,5,11,9
30,50,95.820334,0.2,0.2728648444150194,9,9,15,7
24,50,96.569422,0.26,0.335311852270586,5,11,13,8
26,50,97.243235,0.24,0.3126169973792587,9,6,11,12
18,50,97.844023,0.32,0.3703599550056243,10,6,9,9
16,50,98.459067,0.34,0.39953926282051283,15,6,6,6
36,50,99.141502,0.14,0.19760227153223262,10,13,11,9
28,50,99.84096,0.22,0.28172339169781624,10,13,9,7
28,50,100.529542,0.22,0.32621828433346756,11,13,8,7
34,50,101.205067,0.16,0.19908732999284182,11,12,11,8
22,50,101.835428,0.28,0.3610948191593353,12,8,10,6
16,50,102.482745,0.34,0.4108654557409386,12,9,6,6
30,50,103.183423,0.2,0.30884910485933503,14,11,7,8
18,50,103.806074,0.32,0.38664622721853176,4,13,9,8
18,50,104.474928,0.32,0.4132597684515195,8,6,9,11
20,50,105.13589,0.3,0.3859173368243875,6,9,9,11
24,50,105.797862,0.26,0.3108022741629817,7,7,13,10
30,50,106.540606,0.2,0.2169273800890915,7,12,14,7
22,50,107.24156,0.28,0.31255172413793103,6,7,11,12
4,50,107.849379,0.46,0.5150546229682921,4,8,8,7
18,50,108.484903,0.32,0.4116733933561006,11,9,8,6
26,50,109.122041,0.24,0.2881454264165539,9,15,7,7
30,50,109.860689,0.2,0.27180727207594485,5,11,11,13
24,50,110.550064,0.26,0.28165584415584416,13,7,10,7
32,50,111.260444,0.18,0.23454179254783483,7,11,10,13
24,50,111.886138,0.26,0.33459829692706405,11,14,8,4
32,50,112.588701,0.18,0.23539771059583212,9,13,11,8
12,50,113.329395,0.38,0.44193825042881646,11,10,4,6
14,50,114.029094,0.36,0.42807715595536716,6,10,9,7
8,50,114.659114,0.42,0.49199929664146297,9,8,6,6
22,50,115.338718,0.28,0.37490895848506917,8,10,8,10
14,50,115.949831,0.36,0.44817833971053067,6,8,12,6
22,50,116.670416,0.28,0.3782063645130183,7,13,3,13
12,50,117.32673,0.38,0.46353114091493663,6,11,6,8
26,50,117.96785,0.24,0.2913840234889136,8,12,9,9
18,50,118.59588,0.32,0.4142844654252994,10,11,5,8
28,50,119.247808,0.22,0.289798632218845,12,14,7,6
32,50,119.982435,0.18,0.2134351145038168,8,12,11,10
22,50,120.651358,0.28,0.30183983645898144,7,12,6,11
22,50,121.344505,0.28,0.3309171131421368,8,10,7,11
30,50,122.009212,0.2,0.30303329710502913,12,7,12,9
10,50,122.666876,0.4,0.5331373850383996,7,8,11,4
30,50,123.389201,0.2,0.2984778292521509,7,11,7,15
18,50,124.027383,0.32,0.3903809523809524,11,6,6,11
14,50,124.669182,0.36,0.39899277841125047,9,4,6,13
14,50,125.30245,0.36,0.38633818589025753,9,9,5,9
22,50,125.950472,0.28,0.3420418751158051,9,12,8,7
34,50,126.703398,0.16,0.24745928737602546,14,10,9,9
20,50,127.345816,0.3,0.3624724944988998,10,13,5,7
6,50,127.925749,0.44,0.5455539665180449,7,8,9,4
14,50,128.559839,0.36,0.42444444444444446,6,10,4,12
16,50,129.181518,0.34,0.4645763965963744,12,8,7,6
24,50,129.885296,0.26,0.32625206384149696,9,18,4,6
16,50,130.53622,0.34,0.42201834862385323,8,14,6,5
12,50,131.130804,0.38,0.45287907869481764,7,11,6,7
2,50,131.727922,0.48,0.5829223744292238,11,8,4,3
22,50,132.377177,0.28,0.35163683980794413,15,8,5,8
14,50,133.080447,0.36,0.46398247055601205,5,7,13,7
16,50,133.743272,0.34,0.4018124150430449,12,7,8,6
6,50,134.334138,0.44,0.5771321276806008,4,7,4,13
20,50,134.974112,0.3,0.3685391158052154,11,6,7,11
26,50,135.642364,0.24,0.27434410926599195,15,4,9,10
18,50,136.301839,0.32,0.3968074053083971,12,7,8,7
20,50,136.922632,0.3,0.37831660538606776,11,8,8,8
18,50,137.554508,0.32,0.4114214255939975,12,14,4,4
18,50,138.20039,0.32,0.363798043671574,10,3,10,11
12,50,138.813635,0.38,0.4468210361067504,10,9,4,8
